03/03/2016 19:43:15.381324 ./server:     Creating C150DgmSocket
03/03/2016 19:43:15.409867 ./server:     C150DgmSocket::read: successful read with len=511 |.....romeo.txt......................................................................................|
03/03/2016 19:43:15.409929 ./server:     C150NastyDgmSocket::read: delivering packet of length 511 |.....romeo.txt......................................................................................|
03/03/2016 19:43:15.409979 ./server:     Server received TRANSFER packet 258 for file romeo.txt

03/03/2016 19:43:15.423840 ./server:     C150DgmSocket::write: attempting to send packet with len=257 |.romeo.txt......X?{.............(...0...................w...n...X.@.....0........................>{.|
03/03/2016 19:43:15.423977 ./server:     C150DgmSocket::write: Success writing packet with len=257 |.romeo.txt......X?{.............(...0...................w...n...X.@.....0........................>{.|
03/03/2016 19:43:16.423898 ./server:     C150DgmSocket::read: successful read with len=511 |.....romeo.txt......................................................................................|
03/03/2016 19:43:16.423962 ./server:     C150NastyDgmSocket::read: delivering packet of length 511 |.....romeo.txt......................................................................................|
03/03/2016 19:43:16.424015 ./server:     Server received TRANSFER packet 259 for file romeo.txt

03/03/2016 19:43:16.436521 ./server:     C150DgmSocket::write: attempting to send packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0.......................(={.|
03/03/2016 19:43:16.436624 ./server:     C150DgmSocket::write: Success writing packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0.......................(={.|
03/03/2016 19:43:17.436986 ./server:     C150DgmSocket::read: successful read with len=511 |.....romeo.txt......................................................................................|
03/03/2016 19:43:17.437049 ./server:     C150NastyDgmSocket::read: dropping packet of length 511 |.....romeo.txt......................................................................................|
03/03/2016 19:43:18.436958 ./server:     C150DgmSocket::read: successful read with len=511 |.....romeo.txt......................................................................................|
03/03/2016 19:43:18.437018 ./server:     C150NastyDgmSocket::read: delivering packet of length 511 |.....romeo.txt......................................................................................|
03/03/2016 19:43:18.437097 ./server:     Server received TRANSFER packet 261 for file romeo.txt

03/03/2016 19:43:18.455329 ./server:     C150DgmSocket::write: attempting to send packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0........................?{.|
03/03/2016 19:43:18.455460 ./server:     C150DgmSocket::write: Success writing packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0........................?{.|
03/03/2016 19:43:19.455935 ./server:     C150DgmSocket::read: successful read with len=511 |.....romeo.txt......................................................................................|
03/03/2016 19:43:19.455999 ./server:     C150NastyDgmSocket::read: delivering packet of length 511 |.....romeo.txt......................................................................................|
03/03/2016 19:43:19.456054 ./server:     Server received TRANSFER packet 262 for file romeo.txt

03/03/2016 19:43:19.460524 ./server:     C150DgmSocket::write: attempting to send packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0.......................(={.|
03/03/2016 19:43:19.460629 ./server:     C150DgmSocket::write: Success writing packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0.......................(={.|
03/03/2016 19:43:20.461155 ./server:     C150DgmSocket::read: successful read with len=511 |.....romeo.txt......................................................................................|
03/03/2016 19:43:20.461237 ./server:     C150NastyDgmSocket::read: delivering packet of length 511 |.....romeo.txt......................................................................................|
03/03/2016 19:43:20.461295 ./server:     Server received TRANSFER packet 263 for file romeo.txt

03/03/2016 19:43:20.466386 ./server:     C150DgmSocket::write: attempting to send packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0.......................(={.|
03/03/2016 19:43:20.466566 ./server:     C150DgmSocket::write: Success writing packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0.......................(={.|
03/03/2016 19:43:21.466835 ./server:     C150DgmSocket::read: successful read with len=511 |.....romeo.txt......................................................................................|
03/03/2016 19:43:21.466902 ./server:     C150NastyDgmSocket::read: delivering packet of length 511 |.....romeo.txt......................................................................................|
03/03/2016 19:43:21.466957 ./server:     Server received TRANSFER packet 264 for file romeo.txt

03/03/2016 19:43:21.470934 ./server:     C150DgmSocket::write: attempting to send packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0.......................(={.|
03/03/2016 19:43:21.471046 ./server:     C150DgmSocket::write: Success writing packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0.......................(={.|
03/03/2016 19:43:22.470893 ./server:     C150DgmSocket::read: successful read with len=511 |.....romeo.txt......................................................................................|
03/03/2016 19:43:22.470960 ./server:     C150NastyDgmSocket::read: delivering packet of length 511 |.....romeo.txt......................................................................................|
03/03/2016 19:43:22.471014 ./server:     Server received TRANSFER packet 265 for file romeo.txt

03/03/2016 19:43:22.474237 ./server:     C150DgmSocket::write: attempting to send packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0.......................(={.|
03/03/2016 19:43:22.474345 ./server:     C150DgmSocket::write: Success writing packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0.......................(={.|
03/03/2016 19:43:23.474903 ./server:     C150DgmSocket::read: successful read with len=511 |.....romeo.txt......................................................................................|
03/03/2016 19:43:23.474966 ./server:     C150NastyDgmSocket::read: delivering packet of length 511 |.....romeo.txt......................................................................................|
03/03/2016 19:43:23.475024 ./server:     Server received TRANSFER packet 266 for file romeo.txt

03/03/2016 19:43:23.478015 ./server:     C150DgmSocket::write: attempting to send packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0.......................(={.|
